customer_id,created_at,feedback_text
CUST-2539,2026-03-30 22:09:57,Can you add an API endpoint to let us programmatically fetch analysis results? (using version 2.4.1)
CUST-8068,2026-05-19 23:08:57,Just wanted to say: The pricing is very reasonable considering the amount of time and manual effort this tool saves us.
CUST-8191,2026-03-21 03:30:57,Awesome! The new update made the page transition so smooth and fast. Loads instantly now!
CUST-2824,2026-05-26 03:19:57,The interface looks fine but the button placement for saving projects is a bit weird. Hope this gets fixed soon.
CUST-8731,2026-05-20 18:02:57,Disappointed. Why does the app lag so much when switching between workspaces? Please optimize performance.
CUST-8259,2026-06-19 20:10:57,Just wanted to say: Is there a mobile app in the roadmap? I need to check the status dashboard on the go.
CUST-4902,2026-04-02 02:10:57,"The application response time is average, but it sometimes lags when exporting data. Hope this gets fixed soon."
CUST-2099,2026-05-13 08:06:57,The pricing is very reasonable considering the amount of time and manual effort this tool saves us. Hope this gets fixed soon.
CUST-9611,2026-05-19 05:37:57,The live chat support was incredible! Solved my issue in less than 5 minutes. Highly recommend.
CUST-5115,2026-05-12 09:24:57,The subscription price is too high for small startups. $59/month is steep for basic features. (using version 2.4.1)
CUST-3707,2026-06-13 01:36:57,Just wanted to say: I'd love to use this but the pricing packages are not flexible enough for individual developers.
CUST-8521,2026-05-23 13:27:57,Just wanted to say: Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-3354,2026-06-09 08:24:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-7327,2026-05-04 06:21:57,Awesome! The pricing is very reasonable considering the amount of time and manual effort this tool saves us.
CUST-9001,2026-04-15 04:07:57,The subscription price is too high for small startups. $59/month is steep for basic features.
CUST-8600,2026-05-18 09:25:57,Data synchronization fails frequently between my web app and the desktop client. (using version 2.4.1)
CUST-2967,2026-04-24 08:02:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load.
CUST-2414,2026-06-07 22:21:57,Is there a mobile app in the roadmap? I need to check the status dashboard on the go.
CUST-5269,2026-05-03 04:06:57,Just wanted to say: Can you add an API endpoint to let us programmatically fetch analysis results?
CUST-1403,2026-04-16 01:02:57,Suddenly locking features that were previously free behind the Pro plan is a bad move. Hope this gets fixed soon.
CUST-8000,2026-05-15 07:54:57,The pricing is very reasonable considering the amount of time and manual effort this tool saves us. Hope this gets fixed soon.
CUST-1288,2026-04-23 12:32:57,The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes. (using version 2.4.1)
CUST-3680,2026-06-13 08:54:57,The new update made the page transition so smooth and fast. Loads instantly now! Hope this gets fixed soon.
CUST-7335,2026-05-22 18:23:57,I'd love to use this but the pricing packages are not flexible enough for individual developers. Hope this gets fixed soon.
CUST-1418,2026-05-28 06:58:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt. Hope this gets fixed soon."
CUST-8484,2026-04-05 15:49:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-8236,2026-05-09 22:39:57,Disappointed. CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-1358,2026-04-23 01:23:57,The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-7617,2026-05-04 22:53:57,The interface looks fine but the button placement for saving projects is a bit weird. Hope this gets fixed soon.
CUST-1185,2026-04-23 10:50:57,Just wanted to say: The support agent didn't read my query properly and just pasted a generic article link. Unhelpful.
CUST-5616,2026-04-20 19:31:57,Disappointed. The mobile web version is completely broken. Buttons overlap and I can't click the menu.
CUST-7256,2026-06-04 18:56:57,I'd love to use this but the pricing packages are not flexible enough for individual developers. (using version 2.4.1)
CUST-4035,2026-05-22 10:50:57,Just wanted to say: There are so many bugs in the latest release. The export PDF button is completely broken.
CUST-5781,2026-04-03 04:44:57,Excellent customer service. They helped me set up my custom integrations step-by-step. Highly recommend.
CUST-1400,2026-05-17 18:32:57,The interface looks fine but the button placement for saving projects is a bit weird. (using version 2.4.1)
CUST-9495,2026-05-03 07:36:57,Just wanted to say: Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-3738,2026-06-07 04:01:57,The support agent didn't read my query properly and just pasted a generic article link. Unhelpful.
CUST-4294,2026-05-25 03:58:57,I submitted a support ticket 3 days ago about a billing issue and still haven't heard back.
CUST-3758,2026-03-25 17:55:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-4362,2026-04-24 16:54:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-6420,2026-05-02 18:15:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt. (using version 2.4.1)"
CUST-4592,2026-05-30 04:29:57,Disappointed. Data synchronization fails frequently between my web app and the desktop client.
CUST-5455,2026-05-25 05:15:57,Disappointed. I submitted a support ticket 3 days ago about a billing issue and still haven't heard back.
CUST-7981,2026-06-12 16:22:57,"Just wanted to say: The application response time is average, but it sometimes lags when exporting data."
CUST-1214,2026-06-09 21:12:57,Just wanted to say: I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software.
CUST-9564,2026-03-25 07:18:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team. (using version 2.4.1)"
CUST-9004,2026-05-29 19:54:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load. (using version 2.4.1)
CUST-7297,2026-05-19 03:32:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-4212,2026-04-04 07:04:57,I keep getting timeout errors when running reports for large date ranges. The app feels sluggish. Hope this gets fixed soon.
CUST-4820,2026-05-01 19:19:57,Awesome! Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-3321,2026-06-04 20:01:57,Just wanted to say: Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-6121,2026-04-18 07:19:57,Suddenly locking features that were previously free behind the Pro plan is a bad move.
CUST-2608,2026-06-14 07:12:57,Awesome! Great value for money. The ROI we get from the team plan is well worth the cost.
CUST-3737,2026-06-13 00:36:57,Why does the app lag so much when switching between workspaces? Please optimize performance.
CUST-7387,2026-06-10 07:28:57,Excellent customer service. They helped me set up my custom integrations step-by-step. (using version 2.4.1)
CUST-9712,2026-05-07 22:38:57,The support agent didn't read my query properly and just pasted a generic article link. Unhelpful. (using version 2.4.1)
CUST-7119,2026-06-03 22:00:57,Disappointed. The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-6670,2026-05-18 18:07:57,Disappointed. There are so many bugs in the latest release. The export PDF button is completely broken.
CUST-5532,2026-06-03 06:37:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-1322,2026-06-11 07:45:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-8425,2026-03-27 10:32:57,Disappointed. The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-8606,2026-03-29 20:49:57,Please add a native dark mode. Working at night is blinding with this white screen. Hope this gets fixed soon.
CUST-3768,2026-06-16 12:55:57,Disappointed. CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-9832,2026-04-03 09:07:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-3642,2026-06-13 16:47:57,"Just wanted to say: Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team."
CUST-8801,2026-04-19 01:05:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software. (using version 2.4.1)
CUST-4347,2026-04-17 14:55:57,The subscription price is too high for small startups. $59/month is steep for basic features.
CUST-1781,2026-03-30 05:37:57,The mobile web version is completely broken. Buttons overlap and I can't click the menu. Hope this gets fixed soon.
CUST-7124,2026-06-04 06:11:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-7977,2026-06-15 12:37:57,Please add a native dark mode. Working at night is blinding with this white screen.
CUST-5696,2026-06-13 01:37:57,The app crashed twice today while I was trying to import a CSV file. Lost my work.
CUST-1328,2026-04-30 12:14:57,Data synchronization fails frequently between my web app and the desktop client.
CUST-9523,2026-05-14 23:42:57,"Just wanted to say: It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-4171,2026-03-26 02:42:57,Disappointed. I keep getting timeout errors when running reports for large date ranges. The app feels sluggish.
CUST-3172,2026-05-04 04:22:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-3992,2026-05-24 10:10:57,Please add a native dark mode. Working at night is blinding with this white screen.
CUST-3976,2026-06-16 16:34:57,Data synchronization fails frequently between my web app and the desktop client.
CUST-9505,2026-04-25 03:02:57,Just wanted to say: The app crashed twice today while I was trying to import a CSV file. Lost my work.
CUST-6708,2026-05-23 06:41:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-6105,2026-05-25 17:11:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option. (using version 2.4.1)"
CUST-6513,2026-06-15 12:07:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option."
CUST-1697,2026-03-31 20:46:57,Disappointed. The support agent didn't read my query properly and just pasted a generic article link. Unhelpful.
CUST-6919,2026-05-09 00:00:57,Disappointed. The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-6988,2026-05-23 13:03:57,Awesome! The pricing is very reasonable considering the amount of time and manual effort this tool saves us.
CUST-2979,2026-04-27 02:13:57,Just wanted to say: The subscription price is too high for small startups. $59/month is steep for basic features.
CUST-1224,2026-04-04 20:20:57,Disappointed. Suddenly locking features that were previously free behind the Pro plan is a bad move.
CUST-9885,2026-04-27 08:25:57,The new update made the page transition so smooth and fast. Loads instantly now! Highly recommend.
CUST-6478,2026-05-30 19:05:57,Suddenly locking features that were previously free behind the Pro plan is a bad move.
CUST-8709,2026-05-13 17:37:57,Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-8243,2026-04-12 10:46:57,Is there a mobile app in the roadmap? I need to check the status dashboard on the go. Hope this gets fixed soon.
CUST-8349,2026-05-10 01:50:57,Just wanted to say: Robust product quality. The features work exactly as described without any hiccups.
CUST-6804,2026-06-15 19:21:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load.
CUST-8426,2026-05-21 11:21:57,The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes. Highly recommend.
CUST-4446,2026-06-04 04:38:57,Why does the app lag so much when switching between workspaces? Please optimize performance. (using version 2.4.1)
CUST-1754,2026-04-28 12:59:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load. Hope this gets fixed soon.
CUST-6059,2026-05-11 01:54:57,Awesome! The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes.
CUST-5880,2026-05-03 10:55:57,I'd love to use this but the pricing packages are not flexible enough for individual developers. Hope this gets fixed soon.
CUST-6917,2026-03-25 13:41:57,The new update made the page transition so smooth and fast. Loads instantly now! (using version 2.4.1)
CUST-9696,2026-05-31 16:17:57,We really need a Slack integration so our team can get notifications directly in our channels.
CUST-2970,2026-05-21 00:02:57,Just wanted to say: The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load.
CUST-7145,2026-04-30 04:48:57,Disappointed. I keep getting timeout errors when running reports for large date ranges. The app feels sluggish.
CUST-6803,2026-03-21 23:23:57,The live chat support was incredible! Solved my issue in less than 5 minutes.
CUST-7031,2026-03-28 05:56:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-4584,2026-04-02 15:41:57,The app crashed twice today while I was trying to import a CSV file. Lost my work. (using version 2.4.1)
CUST-8952,2026-06-01 16:59:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option."
CUST-7311,2026-04-06 22:18:57,"Just wanted to say: It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-4973,2026-06-13 23:58:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software. Hope this gets fixed soon.
CUST-4049,2026-05-10 05:50:57,The app is mostly stable but there are some minor visual bugs in the chart displays.
CUST-5064,2026-05-04 12:50:57,Just wanted to say: The subscription price is too high for small startups. $59/month is steep for basic features.
CUST-6737,2026-05-13 11:23:57,Disappointed. I'd love to use this but the pricing packages are not flexible enough for individual developers.
CUST-4417,2026-05-04 12:13:57,Suddenly locking features that were previously free behind the Pro plan is a bad move.
CUST-6287,2026-05-16 20:22:57,Awesome! Robust product quality. The features work exactly as described without any hiccups.
CUST-3783,2026-04-18 23:30:57,I submitted a support ticket 3 days ago about a billing issue and still haven't heard back.
CUST-1258,2026-03-29 14:29:57,The app is mostly stable but there are some minor visual bugs in the chart displays. Hope this gets fixed soon.
CUST-8396,2026-04-26 07:17:57,"The application response time is average, but it sometimes lags when exporting data. (using version 2.4.1)"
CUST-7591,2026-04-25 19:09:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt. Hope this gets fixed soon."
CUST-5996,2026-04-22 01:39:57,Disappointed. CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-8883,2026-04-11 23:39:57,Please add a native dark mode. Working at night is blinding with this white screen.
CUST-4800,2026-04-09 21:25:57,Just wanted to say: The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-1480,2026-04-02 16:07:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software.
CUST-6310,2026-05-09 01:22:57,The app crashed twice today while I was trying to import a CSV file. Lost my work.
CUST-5301,2026-04-06 10:04:57,Just wanted to say: Data synchronization fails frequently between my web app and the desktop client.
CUST-9713,2026-04-23 11:21:57,I'd love to use this but the pricing packages are not flexible enough for individual developers.
CUST-2101,2026-04-08 10:28:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-3765,2026-06-11 06:17:57,The app crashed twice today while I was trying to import a CSV file. Lost my work. Hope this gets fixed soon.
CUST-5036,2026-04-04 03:53:57,The navigation menu is really confusing. It takes me 4 clicks just to find the settings page. (using version 2.4.1)
CUST-2067,2026-04-20 07:12:57,Please add a native dark mode. Working at night is blinding with this white screen.
CUST-1900,2026-03-27 00:15:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load. Hope this gets fixed soon.
CUST-8015,2026-05-20 05:12:57,Great value for money. The ROI we get from the team plan is well worth the cost. Highly recommend.
CUST-3979,2026-05-12 07:04:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-2201,2026-05-01 09:39:57,Just wanted to say: The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load.
CUST-1441,2026-06-06 20:24:57,The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes.
CUST-9024,2026-05-03 08:38:57,The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-4607,2026-04-05 18:49:57,"Just wanted to say: Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team."
CUST-1765,2026-04-15 19:14:57,Please add a native dark mode. Working at night is blinding with this white screen. Hope this gets fixed soon.
CUST-7954,2026-05-05 04:08:57,Please add a native dark mode. Working at night is blinding with this white screen. Hope this gets fixed soon.
CUST-1979,2026-06-03 02:54:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-6519,2026-04-17 19:50:57,Disappointed. Data synchronization fails frequently between my web app and the desktop client.
CUST-7399,2026-06-10 08:18:57,Just wanted to say: It would be great if we could export reports in PowerPoint format for executive presentations.
CUST-5912,2026-04-23 01:00:57,Disappointed. The mobile web version is completely broken. Buttons overlap and I can't click the menu.
CUST-6210,2026-04-24 20:40:57,I'd love to use this but the pricing packages are not flexible enough for individual developers. (using version 2.4.1)
CUST-8214,2026-05-10 22:38:57,"The support docs are okay, but I prefer speaking to a human. Hard to find the contact form."
CUST-2582,2026-03-29 21:32:57,There are so many bugs in the latest release. The export PDF button is completely broken. Hope this gets fixed soon.
CUST-4582,2026-05-15 04:06:57,The interface looks fine but the button placement for saving projects is a bit weird.
CUST-9457,2026-04-01 15:17:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load.
CUST-9784,2026-05-26 20:06:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt. (using version 2.4.1)"
CUST-3833,2026-05-29 08:26:57,Awesome! The new update made the page transition so smooth and fast. Loads instantly now!
CUST-5918,2026-03-23 23:33:57,Disappointed. No live chat option? Email support takes way too long to respond. Very frustrating.
CUST-9975,2026-04-24 09:38:57,There are so many bugs in the latest release. The export PDF button is completely broken. Hope this gets fixed soon.
CUST-1272,2026-05-22 02:12:57,Just wanted to say: The navigation menu is really confusing. It takes me 4 clicks just to find the settings page.
CUST-8917,2026-05-09 23:20:57,Just wanted to say: No live chat option? Email support takes way too long to respond. Very frustrating.
CUST-3991,2026-05-24 18:54:57,Suddenly locking features that were previously free behind the Pro plan is a bad move. (using version 2.4.1)
CUST-8879,2026-06-16 11:33:57,The app is mostly stable but there are some minor visual bugs in the chart displays. (using version 2.4.1)
CUST-5130,2026-05-21 12:49:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software.
CUST-4555,2026-05-20 11:29:57,Excellent customer service. They helped me set up my custom integrations step-by-step. (using version 2.4.1)
CUST-5866,2026-04-05 17:40:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-9788,2026-06-14 14:01:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-1481,2026-04-12 14:33:57,Why does the app lag so much when switching between workspaces? Please optimize performance. (using version 2.4.1)
CUST-4272,2026-05-10 04:15:57,The new update made the page transition so smooth and fast. Loads instantly now! (using version 2.4.1)
CUST-1260,2026-04-14 09:33:57,Just wanted to say: The app is mostly stable but there are some minor visual bugs in the chart displays.
CUST-5325,2026-04-16 11:50:57,Is there a mobile app in the roadmap? I need to check the status dashboard on the go.
CUST-3680,2026-05-07 19:04:57,Just wanted to say: The pricing is very reasonable considering the amount of time and manual effort this tool saves us.
CUST-3261,2026-05-13 18:37:57,Just wanted to say: I keep getting timeout errors when running reports for large date ranges. The app feels sluggish.
CUST-2717,2026-05-15 06:30:57,The subscription price is too high for small startups. $59/month is steep for basic features.
CUST-4169,2026-04-15 20:24:57,Just wanted to say: CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-8427,2026-05-05 12:42:57,Just wanted to say: The pricing is very reasonable considering the amount of time and manual effort this tool saves us.
CUST-2374,2026-05-23 16:11:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option."
CUST-1836,2026-05-23 03:19:57,The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes. (using version 2.4.1)
CUST-4111,2026-04-01 05:45:57,The live chat support was incredible! Solved my issue in less than 5 minutes. (using version 2.4.1)
CUST-7396,2026-04-22 03:16:57,Just wanted to say: The live chat support was incredible! Solved my issue in less than 5 minutes.
CUST-8564,2026-06-16 09:41:57,"Just wanted to say: The application response time is average, but it sometimes lags when exporting data."
CUST-2261,2026-04-21 01:02:57,Is there a mobile app in the roadmap? I need to check the status dashboard on the go. Hope this gets fixed soon.
CUST-2535,2026-04-11 02:35:57,"The support docs are okay, but I prefer speaking to a human. Hard to find the contact form."
CUST-8176,2026-04-02 13:26:57,Just wanted to say: Robust product quality. The features work exactly as described without any hiccups.
CUST-2899,2026-04-04 21:50:57,The pricing is very reasonable considering the amount of time and manual effort this tool saves us.
CUST-8431,2026-06-01 20:29:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-2465,2026-05-12 00:07:57,Please add a native dark mode. Working at night is blinding with this white screen.
CUST-8552,2026-06-11 08:42:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option."
CUST-7143,2026-04-07 17:20:57,The navigation menu is really confusing. It takes me 4 clicks just to find the settings page. Hope this gets fixed soon.
CUST-2646,2026-04-07 06:06:57,The interface looks fine but the button placement for saving projects is a bit weird.
CUST-8190,2026-04-23 23:35:57,The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes.
CUST-5038,2026-04-03 18:25:57,Disappointed. I'd love to use this but the pricing packages are not flexible enough for individual developers.
CUST-7373,2026-05-20 01:45:57,Just wanted to say: Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-5233,2026-03-30 14:16:57,The app is mostly stable but there are some minor visual bugs in the chart displays. (using version 2.4.1)
CUST-2208,2026-06-02 22:35:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team. Highly recommend."
CUST-3559,2026-05-23 14:59:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option."
CUST-7103,2026-05-22 22:05:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team."
CUST-6920,2026-06-19 15:26:57,Just wanted to say: I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software.
CUST-3429,2026-05-02 21:44:57,The mobile web version is completely broken. Buttons overlap and I can't click the menu. (using version 2.4.1)
CUST-9855,2026-06-01 19:51:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team. (using version 2.4.1)"
CUST-9227,2026-05-08 10:54:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team. Highly recommend."
CUST-4808,2026-06-16 19:42:57,Just wanted to say: The layout is extremely clean and intuitive. I was able to figure out the workflows in 2 minutes.
CUST-1896,2026-05-07 07:45:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-8299,2026-04-29 06:54:57,Just wanted to say: The new update made the page transition so smooth and fast. Loads instantly now!
CUST-4016,2026-04-29 17:41:57,Disappointed. Data synchronization fails frequently between my web app and the desktop client.
CUST-4100,2026-04-17 17:26:57,Disappointed. I submitted a support ticket 3 days ago about a billing issue and still haven't heard back.
CUST-1477,2026-03-30 22:18:57,Why does the app lag so much when switching between workspaces? Please optimize performance.
CUST-4520,2026-04-18 12:01:57,Please add a native dark mode. Working at night is blinding with this white screen.
CUST-1284,2026-06-17 22:08:57,"Just wanted to say: It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-7240,2026-04-06 02:57:57,It would be great if we could export reports in PowerPoint format for executive presentations.
CUST-6065,2026-06-02 16:39:57,The live chat support was incredible! Solved my issue in less than 5 minutes.
CUST-3480,2026-04-20 15:55:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-7012,2026-04-08 19:08:57,The pricing is very reasonable considering the amount of time and manual effort this tool saves us. Highly recommend.
CUST-4688,2026-03-21 13:14:57,"Just wanted to say: Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team."
CUST-2066,2026-04-13 05:11:57,Just wanted to say: Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-7211,2026-03-30 19:54:57,We really need a Slack integration so our team can get notifications directly in our channels. (using version 2.4.1)
CUST-5353,2026-05-25 02:47:57,Just wanted to say: CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-1961,2026-06-14 17:34:57,Just wanted to say: The support agent didn't read my query properly and just pasted a generic article link. Unhelpful.
CUST-4968,2026-05-24 23:57:57,The interface looks fine but the button placement for saving projects is a bit weird. Hope this gets fixed soon.
CUST-2818,2026-05-12 06:21:57,"Just wanted to say: Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team."
CUST-2077,2026-04-30 04:24:57,The navigation menu is really confusing. It takes me 4 clicks just to find the settings page. (using version 2.4.1)
CUST-3080,2026-03-29 23:19:57,"Pricing is average for this category, but I wish there was a pay-as-you-go option."
CUST-5528,2026-06-11 02:53:57,Excellent customer service. They helped me set up my custom integrations step-by-step. Hope this gets fixed soon.
CUST-1983,2026-03-21 15:50:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer. (using version 2.4.1)
CUST-9385,2026-04-10 23:17:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-8519,2026-05-31 18:44:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software.
CUST-2378,2026-05-16 16:57:57,No live chat option? Email support takes way too long to respond. Very frustrating.
CUST-4010,2026-06-18 06:35:57,The app is mostly stable but there are some minor visual bugs in the chart displays. Hope this gets fixed soon.
CUST-6868,2026-03-29 06:14:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software. Hope this gets fixed soon.
CUST-3582,2026-04-22 12:58:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt. Hope this gets fixed soon."
CUST-8073,2026-04-22 16:48:57,I highly recommend adding multi-user collaboration and permission roles for team workspaces.
CUST-9886,2026-06-08 06:56:57,The app crashed twice today while I was trying to import a CSV file. Lost my work.
CUST-8177,2026-03-30 09:48:57,The mobile web version is completely broken. Buttons overlap and I can't click the menu. (using version 2.4.1)
CUST-5724,2026-04-14 15:23:57,The live chat support was incredible! Solved my issue in less than 5 minutes.
